company_name,sector,company_size,initial_capital,establishment_date,active,death_date,x,y
天津恒福赛汽车部件有限公司,Parts,S(小型),21223.3,2022-04-06,True,,14.71,5.1616
天津杰作实业有限公司,Parts,S(小型),53345.43,2014-09-24,True,,-7.3748,-3.9551
天津远达滤清器股份有限公司,Parts,XS(微型),10037.21,2006-04-24,True,,-1.9264,11.2997
通天汽车桥（天津）有限公司,Battery/Motor,XS(微型),5369.86,2016-06-30,True,,-4.3943,-5.299
沃可汽车部件（天津）有限公司,Parts,S(小型),31318.11,2018-09-07,True,,3.3876,-12.7551
鼎星汽车配件（天津）有限公司,Parts,XS(微型),17611.67,2011-01-06,True,,7.9048,-16.3617
井上（天津）汽车部件有限公司,Electronics,S(小型),29408.75,2006-12-20,True,,7.0238,-16.2768
天津大中汽车零部件有限公司,Parts,XS(微型),6112.31,2004-12-15,True,,0.9748,19.8577
天津诺威汽车电气有限公司,Electronics,XS(微型),9854.85,2004-11-23,True,,-8.531,-0.7171
天津日拓汽车电装有限公司,Electronics,S(小型),97716.99,2005-01-06,True,,-3.3154,0.0129
天津中发华冠机械有限公司,Parts,S(小型),29527.0,1994-09-15,True,,3.9622,-6.8274
天津高能顺兴实业发展有限公司,Parts,S(小型),58997.36,2015-08-19,True,,-8.8518,-5.0708
北斗（天津）夹具装备有限公司,OEM,S(小型),68136.41,2002-07-25,True,,6.7118,-12.2406
天津市先达汽车工贸公司,Parts,L(大型),589530.17,1993-04-15,True,,-16.5587,-3.7159
天津市环球汽车配件有限公司,Parts,S(小型),64570.09,1998-10-15,True,,-8.7657,1.0259
天津大创汽车零部件有限公司,Parts,XS(微型),8325.25,2019-01-29,False,,-8.7218,-4.1057
天津海化汽车塑料制品有限公司,Electronics,S(小型),55334.09,2009-06-12,True,,-13.7702,-3.6725
天津威斯康太阳能汽车空调有限公司,Parts,XS(微型),12033.53,2012-03-23,True,,-6.7742,-6.0988
盛永机电（天津）有限公司,Parts,S(小型),47371.86,2004-06-18,True,,6.9632,9.7688
天津天汽模汽车部件有限公司,Parts,S(小型),23128.09,2005-03-18,True,,-7.9638,6.082
天津市万华车料有限公司,Parts,S(小型),76715.19,2000-03-06,True,,-9.8234,11.2787
天津国华塑胶有限公司,Parts,S(小型),33515.5,1993-11-21,True,,5.9024,4.6031
天津锦城汽车电装有限公司,Electronics,S(小型),27002.31,2015-05-08,True,,-11.411,8.827
天津昆文汽车电子有限公司,Electronics,S(小型),21356.53,2023-01-11,True,,5.7978,-14.7416
天津市兴盛达液压配件有限公司,Electronics,XS(微型),11342.87,1995-01-25,True,,-8.872,1.3779
天津澳海汽车部品有限公司,Parts,S(小型),59515.1,2021-04-29,True,,5.5992,-15.2949
天津新明汽车部件有限公司,Parts,S(小型),20541.13,2011-08-09,True,,15.5353,-6.5104
天津市神驰汽车零部件有限公司,Parts,XS(微型),10169.06,2001-09-19,True,,-7.2069,-0.5602
天津广瑞达汽车电子有限公司,Electronics,S(小型),28796.77,2018-07-17,True,,15.5107,-6.4204
天津东方金工表面涂层有限公司,Parts,XS(微型),12229.33,2007-12-26,True,,-3.0643,13.6855
天津杰特汽车三元催化器有限公司,Parts,S(小型),26479.32,2007-08-21,True,,5.8177,-13.9926
天津万德汽车部件有限公司,Parts,S(小型),60809.96,2016-06-24,True,,-14.3796,-3.7575
纯德（天津）汽车部品有限公司,Electronics,S(小型),37268.89,2010-02-23,True,,16.1528,-6.7201
奥新海（天津）汽车零部件有限公司,Parts,XS(微型),18320.51,2017-09-07,True,,-6.3619,-13.6237
天津博众汽车部件有限公司,Parts,XS(微型),6050.15,2017-03-20,True,,-2.4794,-0.6495
天津富松汽车零部件有限公司,Parts,S(小型),34627.82,2003-01-27,True,,-13.9287,-3.5614
天津昊辰通达汽车检具有限公司,Electronics,S(小型),24007.37,2008-07-30,True,,3.6023,11.0383
天津市华迪汽车散热器有限公司,Parts,XS(微型),18017.36,2006-08-01,True,,1.1986,-13.4506
天津市津田汽车部件有限公司,Parts,S(小型),82085.02,2003-01-20,True,,-7.102,0.8174
天津聚成汽车部件有限公司,Parts,S(小型),30291.69,2004-07-20,True,,-9.1345,0.787
天津大韩汽车配件有限公司,Parts,S(小型),57854.75,2007-03-20,True,,-5.8453,14.048
天津玉士汽车部件有限公司,Electronics,XS(微型),15523.4,2012-12-26,True,,-7.1483,-7.4415
天津信诺达汽车线束有限公司,Electronics,S(小型),48876.34,2018-04-04,True,,-11.6729,-6.471
维智汽车电子（天津）有限公司,Parts,XS(微型),10419.61,2017-10-24,True,,16.4718,3.7801
天津华天汽车配件有限公司,Electronics,XS(微型),6991.65,2011-09-14,True,,6.2451,-11.8523
天津市津维津城实业有限公司,Parts,S(小型),23233.04,1992-05-13,True,,4.6932,-8.5959
天津晨嘉汽车零部件有限公司,Electronics,XS(微型),17343.94,2017-10-11,True,,6.648,-16.9283
天津旭景津川汽车配件有限公司,Parts,XS(微型),17421.1,2007-08-02,True,,-13.448,-2.712
天津敏驰汽车部品有限公司,Parts,S(小型),55405.0,2012-07-05,True,,8.6515,10.1718
天津福赛汽车部件有限公司,Parts,S(小型),34514.51,2018-01-15,True,,6.1269,9.3942
天津市协远汽车部品有限公司,Parts,S(小型),35084.64,2017-09-30,True,,4.7532,-13.9754
天津市赛奥美德工贸有限公司,Parts,S(小型),64335.58,2005-07-15,True,,-14.1632,-3.173
天津汽车锻造有限公司,Parts,S(小型),84738.97,1981-08-10,True,,0.8193,4.8634
天津电达汽车部件有限公司,Battery/Motor,S(小型),83382.86,2018-05-23,True,,-11.4745,-5.2466
天津市先众汽车零部件有限公司,Parts,S(小型),70168.08,1998-04-01,True,,-9.3147,0.5464
晶安（天津）汽车零部件有限公司,Electronics,S(小型),56207.06,2023-07-10,True,,0.2693,18.0942
天津日马精密锻压有限公司,Electronics,S(小型),22900.31,2003-06-03,True,,-9.0012,-2.9236
天津市拓达车辆配件有限公司,Battery/Motor,S(小型),25942.01,2014-10-22,True,,-12.5566,10.7181
天津鑫泓汽车零部件有限公司,Electronics,XS(微型),17376.15,2017-11-08,True,,0.3514,20.3107
天津小出钢管有限公司,Parts,M(中型),265384.6,2007-11-29,True,,1.7225,-13.3522
天津众恒汽车减震器有限公司,Parts,S(小型),20298.24,2012-11-16,True,,-9.3947,0.7429
天津爱碧克空调配件有限公司,Parts,S(小型),23548.08,2007-11-01,True,,1.2224,-13.5177
天津市神州汽车零部件有限公司,Battery/Motor,XS(微型),12544.05,2004-01-13,True,,16.9005,-8.6839
天津华恒汽车部件有限公司,Electronics,XS(微型),5035.21,2005-05-18,True,,-8.8754,-1.5109
天津市精华汽车零部件制造有限公司,Parts,XS(微型),6248.65,2017-09-14,True,,16.961,-7.5052
